home_team,away_team,competition,home_goals,away_goals,prediction,odds_home,odds_draw,odds_away
SC Braga,Moreirense,Primeira Liga,2,0,1,1.36,4.733,7.837
Alma Juventus Fano,Rimini,Serie C,1,0,1X,2.98,2.947,2.347
Boluspor,Adana Demirspor,TFF First League,2,3,1X,2.085,3.232,3.42
Mladost Lucani,Partizan Belgrade,SuperLiga,1,1,2,5.874,3.814,1.46
Altay,Altinordu,TFF First League,1,2,1X,2.195,3.212,3.185
Gubbio,Monza 1912,Serie C,0,0,1X,2.305,2.928,3.07
Raith Rovers,Airdrie United,League One,2,0,1,1.751,3.711,3.937
Arsenal Kiev,Karpaty Lvov,Premier League,1,1,2,3.229,3.07,2.169
Nottingham,Ipswich,Championship,2,0,1,1.643,3.689,5.759
FK Sarajevo,Celik Zenica,Premier League,3,1,1,1.182,5.846,9.91
Bolton,Wigan,Championship,1,1,1X,3.153,3.171,2.364
Banants,Shirak,Premier League,4,0,1X,2.397,3.177,2.587
Wehen Wiesbaden,Sportfreunde Lotte,3. Liga,2,0,1,1.521,4.069,5.46
OFK Petrovac,Iskra Danilovgrad,Prva Liga,1,2,1X,2.513,2.797,2.74
Vitoria Guimaraes B,Oliveirense,Segunda Liga,1,1,1X,2.26,3.085,3.065
Huddersfield,Brighton,Premier League,1,2,1X,2.423,2.97,3.393
Stranraer,Forfar Athletic,League One,2,1,12,2.719,3.467,2.296
Cova da Piedade,Famalicao,Segunda Liga,0,0,1X,2.948,3.012,2.37
Varzim,Academico de Viseu,Segunda Liga,0,0,12,2.422,3.005,2.862
Gernika Club,Arenas Club de Getxo,Segunda Division B Group 2,2,0,1X,2.443,2.815,2.912
Academica Coimbra,Arouca,Segunda Liga,2,0,12,2.165,3.03,3.317
Recreativo Huelva,Sevilla Atletico,Segunda Division B Group 4,2,1,1,1.793,3.213,4.193
Cittadella,Salernitana,Serie B,3,1,1X,1.964,3.076,4.031
Rad Belgrade,Vojvodina Novi Sad,SuperLiga,0,1,12,2.892,3.032,2.258
Sudtirol,Pordenone,Serie C,1,1,12,2.435,2.925,2.87
Leioa,Izarra,Segunda Division B Group 2,2,2,1,1.64,3.475,4.727
Derby County,Swansea,Championship,2,1,12,1.917,3.45,4.238
NK Aluminij Kidricevo,Olimpija Ljubljana,1. SNL,6,2,2,4.825,3.927,1.55
Arbroath,Stenhousemuir,League One,5,2,1,1.289,5.133,8.254
Peterhead,Annan Athletic,League Two,2,1,1,1.502,3.94,5.753
